Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
quality,217,0.4977690900867841,0.0,0.0,0.035409532768885234,0.014839737301226329,0.0,0.00962242537407222,0.0,0.00452906021875923,0.00328934458545527,0.00936018126827548,0.0
data,1711,0.48123687564852735,0.013916101672738008,0.0007606350771847379,0.020857070453359137,0.5444371778624726,0.6554062863451736,0.6930959932270258,0.10132056618664208,0.05792776264266452,0.19042891013016633,0.45997282903863346,0.718426223145955
control,111,0.20652121822749553,0.015901906000050085,0.0,0.0,0.018549671626532913,0.025223087069383806,0.01924485074814444,0.0,0.00452906021875923,0.009868033756365809,0.0,0.0
supply,101,0.20488532327635994,0.0,0.0,0.0,0.0040434180618044765,0.005498075000148977,0.0,0.004101049231852285,0.0,0.0,0.1326203093862472,0.004405909937956439
chain,92,0.18179965304803772,0.0,0.0012314980132511848,0.004824059262354202,0.0,0.005498075000148977,0.0,0.0,0.0,0.0,0.12241874712576663,0.004405909937956439
et,402,0.13724914929008847,0.1770232167891736,0.06337310362274001,0.11848149180810606,0.0,0.0,0.11447808029659433,0.025580692401926036,0.023092401309680398,0.005590480257437521,0.011931231411049018,0.0
al,416,0.12688665609772368,0.16365772863601097,0.06657767053248984,0.10779731532395813,0.0,0.0,0.10961464854588301,0.026605480641413697,0.023127968844677892,0.007752587351349964,0.011030407581444029,0.0031759176448924926
dpb,50,0.11868923452822959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1787144170863189,0.0
production,39,0.1074556603678942,0.0,0.0,0.0,0.004428396782404174,0.012043106731936993,0.0028714738475824854,0.0,0.0,0.003926356021745737,0.0,0.0
chart,26,0.10550154180287075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007519441490414242,0.0,0.0,0.0
manage,51,0.10061290118775423,0.0,0.0,0.0,0.0074198686506131645,0.015133852241630281,0.00481121268703611,0.0,0.0,0.00328934458545527,0.01872036253655096,0.004042529430097895
process,278,0.09802973392840372,0.0021409387188827704,0.002281905231554214,0.06257121136007741,0.2921979349078408,0.030562987446147993,0.025910130587926197,0.005066028309332104,0.015244148063859084,0.015500027568734469,0.006300997658063473,0.03537704886703566
dimensions,26,0.08542918784526358,0.0,0.0,0.0,0.00544101274194597,0.0,0.01058423164898436,0.0,0.0,0.0,0.0,0.0
charts,21,0.08352205392727267,0.0,0.0,0.0,0.012318950398087123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
information,199,0.08198850474011947,0.007493285516089697,0.00380317538592369,0.007448953733342549,0.039958691953208995,0.050938312410246656,0.12145373713090404,0.02533014154666052,0.012195318451087267,0.015500027568734469,0.0031504988290317363,0.010885245805241741
scm,60,0.07912615635215307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3263480659837128,0.0
management,80,0.07557106517767363,0.0,0.0,0.0,0.034157808228623784,0.032512476332587685,0.006644611436510553,0.003464466227744943,0.00416995981176789,0.0,0.08187129104622752,0.026054035744772514
monitoring,33,0.07502842824204731,0.0,0.0,0.0,0.0040434180618044765,0.010996150000297954,0.0052436896645972385,0.0,0.0024680873414137674,0.0,0.0051007811302402764,0.0
redman,14,0.07166014629369873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manufacturing,17,0.07033436120191383,0.0,0.0,0.0,0.0,0.008375403207944773,0.0,0.0,0.0,0.0,0.0,0.0
int,39,0.06953013317922566,0.0,0.0,0.0,0.0,0.0,0.0028714738475824854,0.03593212068644899,0.013515384600784467,0.011779068065237212,0.0,0.0
2013,95,0.0674995816180763,0.006756611327831053,0.0,0.0037613172002573356,0.0,0.030007929130188935,0.034752274375751846,0.0,0.0019243667758067,0.0027952401287187605,0.07954154274032679,0.0412234359434455
spc,13,0.06654156441557739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,50,0.06636967258016994,0.00569443633147571,0.0,0.0,0.0,0.0,0.06604389849439717,0.0,0.0,0.007852712043491474,0.0055864326665305,0.0
wang,54,0.06619269814983832,0.012721524800040069,0.0,0.008852383192221308,0.0,0.0,0.016839244404626384,0.003762812324242098,0.015851710765657306,0.00657868917091054,0.0,0.0
1998,21,0.06593846362679422,0.0,0.011255894920111613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,20,0.062130318432918975,0.0,0.0,0.0,0.0,0.007398467255853038,0.01058423164898436,0.0,0.0,0.0,0.0,0.0
hazen,12,0.06142298253745606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ﬁrm,22,0.0543640286288041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006863850014838498,0.041501591529994525
theory,58,0.053631078513187734,0.001464107469272858,0.004161357774792398,0.0,0.017078904114311892,0.0,0.008859481915347404,0.0,0.006254939717651835,0.00302853882834053,0.07756227572800503,0.0
c0,10,0.05118581878121338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
research,130,0.05005061419778703,0.005780763127263149,0.007393665314826664,0.004827112895696511,0.010789273463059149,0.03300933171592998,0.04372507436931051,0.010943053864723667,0.008232165475533331,0.011957636960250312,0.11909356500404097,0.0
record,19,0.048795922419996904,0.0,0.0,0.0,0.009767459930353238,0.0,0.006333444613355641,0.0,0.0,0.0,0.006160836517717096,0.0
incomplete,15,0.04835487332631576,0.0,0.0,0.0,0.0,0.0,0.015975778881570202,0.0,0.0,0.0,0.0,0.0
completeness,14,0.04835487332631576,0.0,0.005627947460055806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,15,0.046597738824689226,0.004664366836755232,0.0,0.0,0.00544101274194597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maintenance,9,0.04606723690309204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,9,0.04606723690309204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ballou,9,0.04606723690309204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
farmer,9,0.04606723690309204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
