Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
dormant,150,0.0,0.46112643551253335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurons,158,0.0,0.40130101585407224,0.0,0.0,0.0,0.0,0.0,0.0,0.022558324471242727,0.0,0.0,0.0
redo,80,0.0,0.24593409894001778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dqn,67,0.0,0.2059698078622649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
et,402,0.13724914929008847,0.1770232167891736,0.06337310362274001,0.11848149180810606,0.0,0.0,0.11447808029659433,0.025580692401926036,0.023092401309680398,0.005590480257437521,0.011931231411049018,0.0
replay,56,0.0,0.17215386925801243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
al,416,0.12688665609772368,0.16365772863601097,0.06657767053248984,0.10779731532395813,0.0,0.0,0.10961464854588301,0.026605480641413697,0.023127968844677892,0.007752587351349964,0.011030407581444029,0.0031759176448924926
learning,478,0.0019250236229918088,0.1618613675633682,0.07475817151658071,0.03378979026987557,0.04045977548647181,0.01100311057197666,0.04722308031885535,0.08480866745160842,0.13336108070363997,0.1602323352673542,0.003402673285829742,0.0
neuron,60,0.0,0.1557681574696728,0.0,0.0,0.0,0.0,0.0,0.0,0.003759720745207121,0.0,0.0,0.0
reinforcement,74,0.0,0.14256746615868357,0.037519649733705376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
