Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
image,258,0.0,0.0015901906000050086,0.0,0.5422084705235551,0.011129802975919745,0.0,0.007216819030554164,0.007525624648484196,0.006793590328138845,0.00328934458545527,0.0,0.0
diffusion,107,0.0,0.0,0.0,0.3894785711849223,0.0,0.0,0.0039939447203925504,0.0,0.0,0.0,0.0,0.0
immunization,54,0.0,0.0,0.0,0.2310327527081656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,67,0.0,0.004664366836755232,0.0,0.19474440322397404,0.0,0.0,0.0,0.02759281971933653,0.0,0.0,0.0,0.0
editing,54,0.0,0.0,0.0,0.19473928559246115,0.0,0.0,0.0,0.0,0.0,0.005461184651441412,0.0,0.0
prompt,40,0.0,0.0,0.0,0.17113537237641896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
encoder,50,0.0,0.0,0.0,0.15579552257917925,0.0,0.0,0.0,0.0,0.0033211739344298427,0.004824173215150945,0.0,0.0
men,48,0.0,0.0,0.0,0.15432169801666734,0.0,0.0,0.023963668322355303,0.0,0.0,0.0,0.0,0.0
immunized,34,0.0,0.0,0.0,0.1454650665199561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
images,59,0.0,0.0017331318643330975,0.0,0.12783757045238633,0.0,0.005498075000148977,0.0052436896645972385,0.004101049231852285,0.0,0.003585021766451214,0.0,0.0
adversarial,41,0.0,0.0,0.0,0.12009238198811734,0.0,0.0,0.0,0.011037127887734612,0.0,0.00964834643030189,0.0,0.0
et,402,0.13724914929008847,0.1770232167891736,0.06337310362274001,0.11848149180810606,0.0,0.0,0.11447808029659433,0.025580692401926036,0.023092401309680398,0.005590480257437521,0.011931231411049018,0.0
powered,32,0.0,0.0,0.0,0.11390411044087351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006711671308098966
malicious,32,0.0,0.0,0.0,0.11390411044087351,0.0,0.0,0.0,0.006247266705431332,0.0,0.0,0.0,0.0
al,416,0.12688665609772368,0.16365772863601097,0.06657767053248984,0.10779731532395813,0.0,0.0,0.10961464854588301,0.026605480641413697,0.023127968844677892,0.007752587351349964,0.011030407581444029,0.0031759176448924926
generated,64,0.004875552592107976,0.0,0.0,0.08558019629963665,0.017078904114311892,0.009289278952167912,0.008859481915347404,0.003464466227744943,0.014594859341187613,0.00302853882834053,0.0,0.0
models,157,0.0017823587986982494,0.003211408078324156,0.009127620926216856,0.08193849106676804,0.04245611020028456,0.01697943747008222,0.03400704639665313,0.043061240629322886,0.010670903644701359,0.03321434479014529,0.006300997658063473,0.005442622902620871
latent,19,0.0,0.0,0.0,0.081289301878799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
textual,17,0.0,0.0,0.0,0.07273253325997805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
two,139,0.014258870389585995,0.013916101672738008,0.009127620926216856,0.07002016509341996,0.014984509482453372,0.013583549976065775,0.017813214779199258,0.017731099082662363,0.0182929776766309,0.022142896526763527,0.006300997658063473,0.01904918015917305
similarity,28,0.0,0.0,0.0014874305989240823,0.06991926853934978,0.0,0.0,0.0,0.0,0.002981010600856927,0.0,0.0,0.010643111377043558
wedding,16,0.0,0.0,0.0,0.06845414895056758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
