Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
data,1711,0.48123687564852735,0.013916101672738008,0.0007606350771847379,0.020857070453359137,0.5444371778624726,0.6554062863451736,0.6930959932270258,0.10132056618664208,0.05792776264266452,0.19042891013016633,0.45997282903863346,0.718426223145955
process,278,0.09802973392840372,0.0021409387188827704,0.002281905231554214,0.06257121136007741,0.2921979349078408,0.030562987446147993,0.025910130587926197,0.005066028309332104,0.015244148063859084,0.015500027568734469,0.006300997658063473,0.03537704886703566
mining,207,0.0,0.0,0.0,0.0,0.24114573114492785,0.030267704483260563,0.26942791047402215,0.0,0.002264530109379615,0.00328934458545527,0.02808054380482644,0.06468047088156632
science,273,0.022881200279917385,0.002498591276885664,0.0,0.0,0.2302551511425869,0.027742290596639185,0.05669723200649121,0.017736987094275798,0.005337223579541052,0.012920978918916607,0.12133448339588432,0.3080640115545718
events,36,0.0,0.0,0.00994296846780746,0.0,0.1469073440325412,0.0,0.01058423164898436,0.0,0.0,0.0,0.0,0.0
event,51,0.0052954158519870655,0.0,0.007909505464809518,0.0,0.12242783273511722,0.010089234827753523,0.002405606343518055,0.003762812324242098,0.0,0.0,0.0234004531706887,0.0
customer,60,0.037514214121023653,0.0,0.0,0.0,0.11725912379232982,0.016494225000446932,0.0026218448322986193,0.0,0.0,0.0,0.030604686781441657,0.03524727950365151
digital,39,0.002885708778540281,0.0,0.0,0.002412029631177101,0.11321570573052535,0.016494225000446932,0.0,0.0,0.007404262024241302,0.0,0.0,0.013217729813869315
chap,15,0.0,0.0,0.0,0.0,0.10758136737878034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
processes,60,0.029253315552647857,0.001464107469272858,0.003121018331094299,0.0,0.10588920550873375,0.02322319738041978,0.0,0.0,0.002084979905883945,0.0,0.017236061272890006,0.01116601531918822
journey,13,0.0,0.0,0.0,0.0,0.09323718506160962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
business,103,0.021181663407948262,0.0,0.0,0.0,0.08903842380735796,0.05044617413876761,0.012028031717590275,0.0,0.002264530109379615,0.0,0.13104253775585673,0.10914829461264317
fig,38,0.012188881480269939,0.001464107469272858,0.0010403394436980995,0.00203762372141992,0.08881030139442186,0.009289278952167912,0.0,0.0,0.0,0.0,0.0043090153182225015,0.003722005106396074
book,23,0.0,0.0,0.0,0.0,0.08790713937317915,0.0,0.006333444613355641,0.004953338169865961,0.0,0.0,0.0,0.010643111377043558
used,185,0.030300099577870238,0.02247985654826909,0.009888256003401593,0.016387698213353608,0.08241480215349355,0.010187662482049331,0.012955065293963099,0.05319329724798709,0.013719733257473174,0.06642868958029058,0.040956484777412566,0.01632786870786261
spreadsheets,11,0.0,0.0,0.0,0.0,0.07889300274443892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anne,11,0.0,0.0,0.0,0.0,0.07889300274443892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analysis,130,0.017823587986982494,0.004281877437765541,0.008366985849032118,0.00148979074666851,0.07741996565934242,0.04414653742221377,0.030768280073162357,0.002533014154666052,0.010670903644701359,0.03985721374817435,0.018902992974190416,0.02449180306179392
example,108,0.04274973502478165,0.0,0.009601985397384851,0.01692592740115801,0.07251098561635635,0.0042868470185984196,0.03884077724348736,0.0,0.0,0.025157161158468843,0.015908308548065356,0.04809400860068642
universe,12,0.0,0.0,0.0,0.0,0.06775422718947917,0.0,0.0039939447203925504,0.0,0.0,0.0,0.0,0.0
may,80,0.007129435194792998,0.003211408078324156,0.0015212701543694759,0.00297958149333702,0.06743029267104018,0.003395887494016444,0.019432597940944648,0.015198084927996312,0.00914648883831545,0.008857158610705412,0.022053491803222153,0.01632786870786261
etc,30,0.0,0.0,0.0,0.0,0.06642595173606261,0.012043106731936993,0.03158621232340734,0.0,0.0027030769201568934,0.0,0.0055864326665305,0.0
statistics,31,0.0,0.001464107469272858,0.003121018331094299,0.0,0.05806827398866044,0.004644639476083956,0.006644611436510553,0.006928932455489886,0.0,0.0,0.012927045954667505,0.003722005106396074
also,113,0.008911793993491247,0.007493285516089697,0.00380317538592369,0.010428535226679568,0.05744061968273793,0.023771212458115108,0.03400704639665313,0.017731099082662363,0.01676856287024499,0.004428579305352706,0.028354489461285624,0.02449180306179392
spreadsheet,8,0.0,0.0,0.0,0.0,0.05737672926868285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bpm,8,0.0,0.0,0.0,0.0,0.05737672926868285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
product,36,0.04328563167810422,0.0,0.0012314980132511848,0.0,0.056607852865262674,0.005498075000148977,0.0,0.0,0.0,0.0,0.015302343390720828,0.008811819875912877
