Words,WordCounts,Big_data_A_review.txt,Concept drift and machine learning model for detecting.txt,DATA SCIENCE AND ITS RELATIONSHIP TO BIG DATA AND DATA-DRIVEN DECISION MAKING.txt,"Data Science, Predictive Analytics, and Big Data A Revolution.txt",Data_Mining_with_Big_Data.txt,Detecting Fraudulent Transactions Using Stacked Autoencoder.txt,Optimizing Supply Chain Data Quality.txt,Raising the Cost of Malicious AI-Powered Image Editing.txt,The Dormant Neuron Phenomenon in Deep Reinforcement Learning.txt,The Imbalanced Classification of Fraudulent Bank Transactions.txt,Towards Theoretical Understanding of Inverse Reinforcement Learning.txt,Unveiling Data Science Dynamics.txt
data,1711,0.6554062863451733,0.10132056618664212,0.7184262231459546,0.4599728290386333,0.6930959932270258,0.057927762642664485,0.48123687564852863,0.020857070453359133,0.01391610167273802,0.19042891013016633,0.0007606350771847341,0.5444371778624733
big,325,0.37295569061806233,0.006395173100481512,0.12023502150171599,0.1988538568508169,0.25144292636573395,0.0038487335516133978,0.01799988843148706,0.0,0.0,0.013976200643593803,0.0,0.04098447013098408
hadoop,36,0.18496168139632585,0.0,0.011857597579998429,0.0,0.03175269494695308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytics,98,0.15133852241630275,0.0,0.04042529430097893,0.17316335346309633,0.00481121268703611,0.0,0.023829371333941855,0.0,0.0,0.01315737834182108,0.0,0.022259605951839522
hpcc,15,0.14628475646743963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colorado,12,0.1170278051739517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
security,44,0.11602620051916543,0.015051249296968399,0.0,0.0,0.007216819030554164,0.009058120437518455,0.0,0.0022130957980553267,0.0,0.019736067512731617,0.0,0.011129802975919761
2012,116,0.08824815004559511,0.0,0.011166015319188215,0.0732532604097825,0.12624761729370051,0.0020849799058839436,0.019502210368431954,0.006112871164259759,0.011712859754182873,0.0,0.0,0.0
billion,19,0.07304766546632162,0.0,0.0,0.0,0.0031667223066778206,0.0,0.0,0.0,0.0,0.012990206275243303,0.0,0.019534919860706504
intel,10,0.05918773804682427,0.0,0.0,0.0,0.0,0.003321173934429841,0.0,0.0,0.0,0.0,0.0,0.005441012741945977
file,12,0.05918773804682427,0.0,0.0,0.0,0.007056154432656241,0.0,0.0,0.0,0.004664366836755235,0.0,0.0,0.0
august,13,0.05918773804682427,0.0,0.0,0.0,0.0,0.006642347868859682,0.0,0.0,0.0,0.014472519645452835,0.0,0.0
tdwi,6,0.05851390258697585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
springs,6,0.05851390258697585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
authorized,6,0.05851390258697585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
licensed,6,0.05851390258697585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
