Words,WordCounts,Big_data_A_review.txt,Concept drift and machine learning model for detecting.txt,DATA SCIENCE AND ITS RELATIONSHIP TO BIG DATA AND DATA-DRIVEN DECISION MAKING.txt,"Data Science, Predictive Analytics, and Big Data A Revolution.txt",Data_Mining_with_Big_Data.txt,Detecting Fraudulent Transactions Using Stacked Autoencoder.txt,Optimizing Supply Chain Data Quality.txt,Raising the Cost of Malicious AI-Powered Image Editing.txt,The Dormant Neuron Phenomenon in Deep Reinforcement Learning.txt,The Imbalanced Classification of Fraudulent Bank Transactions.txt,Towards Theoretical Understanding of Inverse Reinforcement Learning.txt,Unveiling Data Science Dynamics.txt
data,1711,0.6554062863451733,0.10132056618664212,0.7184262231459546,0.4599728290386333,0.6930959932270258,0.057927762642664485,0.48123687564852863,0.020857070453359133,0.01391610167273802,0.19042891013016633,0.0007606350771847341,0.5444371778624733
mining,207,0.030267704483260546,0.0,0.0646804708815663,0.02808054380482643,0.26942791047402215,0.0022645301093796137,0.0,0.0,0.0,0.00328934458545527,0.0,0.24114573114492815
big,325,0.37295569061806233,0.006395173100481512,0.12023502150171599,0.1988538568508169,0.25144292636573395,0.0038487335516133978,0.01799988843148706,0.0,0.0,0.013976200643593803,0.0,0.04098447013098408
2012,116,0.08824815004559511,0.0,0.011166015319188215,0.0732532604097825,0.12624761729370051,0.0020849799058839436,0.019502210368431954,0.006112871164259759,0.011712859754182873,0.0,0.0,0.0
information,199,0.05093831241024663,0.02533014154666053,0.010885245805241736,0.003150498829031735,0.12145373713090404,0.01219531845108726,0.08198850474011969,0.0074489537333425485,0.007493285516089703,0.015500027568734469,0.003803175385923671,0.039958691953209044
et,402,0.0,0.025580692401926047,0.0,0.011931231411049013,0.11447808029659433,0.023092401309680387,0.13724914929008883,0.11848149180810605,0.17702321678917374,0.005590480257437521,0.0633731036227397,0.0
al,416,0.0,0.026605480641413708,0.0031759176448924913,0.011030407581444026,0.10961464854588301,0.023127968844677882,0.126886656097724,0.1077973153239581,0.1636577286360111,0.007752587351349964,0.0665776705324895,0.0
knowledge,138,0.027167099952131537,0.005066028309332106,0.029934425964414774,0.05985947775160296,0.10849867183694094,0.003048829612771815,0.023170664383077303,0.0014897907466685095,0.004281877437765545,0.004428579305352706,0.0022819052315542023,0.014984509482453391
privacy,45,0.03984418116344814,0.0,0.0,0.0,0.10450183612036809,0.0,0.0,0.0029133028558062405,0.0,0.0,0.0,0.02441864982588313
social,55,0.021992300000595898,0.02050524615926143,0.008811819875912874,0.0,0.08914272429815305,0.0,0.0,0.0,0.0,0.003585021766451214,0.0,0.03639076255624033
sources,48,0.02749037500074487,0.0,0.0,0.01020156226048055,0.08652087946585443,0.0,0.002885708778540289,0.0,0.001733131864333099,0.0,0.0,0.02426050837082689
