Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
drift,97,0.0,0.0,0.0,0.0,0.0,0.0,0.011981834161177651,0.5872430703105452,0.0,0.0,0.0,0.0
model,318,0.003564717597396499,0.006422816156648312,0.047159374785453755,0.04469372240005529,0.027471600717831182,0.01697943747008222,0.038865195881889296,0.23810333053860888,0.0548789330298927,0.10185732402311223,0.0031504988290317363,0.0027213114513104353
detection,134,0.007313328888161964,0.0,0.0,0.02241386093561912,0.0,0.0,0.002214870478836851,0.16629437893175725,0.07088931680005413,0.09994178133523748,0.008618030636445003,0.007444010212792148
concept,62,0.0026477079259935327,0.0,0.0,0.004426191596110654,0.0,0.0,0.007216819030554164,0.1580381176181681,0.002264530109379615,0.0,0.00468009063413774,0.04851035316117474
spam,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0039939447203925504,0.13119260081405798,0.0,0.0,0.0,0.0
vol,36,0.0,0.0,0.0,0.0,0.0,0.0,0.05990917080588826,0.13119260081405798,0.0,0.0,0.0,0.0
proposed,106,0.006749958161807629,0.009459255858963475,0.0048009926986924256,0.007522634400514671,0.003152651548537233,0.0,0.014309760037074291,0.12790346200963018,0.046184802619360796,0.041928601930781406,0.0,0.0
window,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1236633645793727,0.0,0.0,0.0,0.0
xgboost,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12140840676508075,0.009963521803289528,0.024120866075754723,0.0,0.0
step,110,0.0,0.01499154766131398,0.01686634320156409,0.02607999564289309,0.008743866499085578,0.027742290596639185,0.003779815467099414,0.12120274514421796,0.007116298106054736,0.012920978918916607,0.0,0.006351835289784985
stream,31,0.0034854230299997788,0.0,0.0,0.0,0.0,0.0,0.015833611533389105,0.11888011607678306,0.0,0.004330068758414435,0.0,0.0
identification,20,0.0,0.0,0.0,0.0,0.0,0.008375403207944773,0.0,0.1186980674031953,0.0,0.0,0.0,0.0
credit,113,0.0,0.0,0.0,0.0,0.008856793564808348,0.0,0.0,0.1122878771451531,0.11893538448690331,0.15312788484808376,0.0,0.014476205844592934
fraud,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10897343973705116,0.12520244523599092,0.26846426302169496,0.0,0.015964667065565336
data,1711,0.48123687564852735,0.013916101672738008,0.0007606350771847379,0.020857070453359137,0.5444371778624726,0.6554062863451736,0.6930959932270258,0.10132056618664208,0.05792776264266452,0.19042891013016633,0.45997282903863346,0.718426223145955
ensemble,28,0.0,0.0,0.0,0.002913302855806241,0.0,0.0,0.0,0.09906676339731924,0.01788606360514156,0.004330068758414435,0.0,0.0
card,116,0.0,0.0,0.0,0.0,0.017713587129616695,0.0,0.0,0.09881333188773474,0.10541999988611886,0.19631780108728686,0.0055864326665305,0.0
imbalance,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938155870457442,0.009963521803289528,0.02894503929090567,0.0,0.0
attained,15,0.004395897575119614,0.0,0.0,0.0,0.0,0.0,0.0,0.08746173387603863,0.0,0.0,0.0,0.0
accuracy,91,0.021181663407948262,0.0,0.006779576112693872,0.0,0.0,0.0,0.00481121268703611,0.08654468345756824,0.05434872262511076,0.08881230380729228,0.0,0.004042529430097895
twitter,39,0.0,0.0,0.0,0.0,0.026570380694425043,0.012043106731936993,0.028714738475824855,0.08533878663031635,0.0,0.0,0.0,0.00965080389639529
recall,61,0.0,0.0,0.004046251282499014,0.007925045662729231,0.0,0.0,0.0,0.08533878663031635,0.043249230722510294,0.07852712043491475,0.0,0.0
learning,478,0.0019250236229918088,0.1618613675633682,0.07475817151658071,0.03378979026987557,0.04045977548647181,0.01100311057197666,0.04722308031885535,0.08480866745160842,0.13336108070363997,0.1602323352673542,0.003402673285829742,0.0
streams,30,0.0,0.0,0.0,0.0,0.004883729965176619,0.03320348430287348,0.022167056146744742,0.08420674888772134,0.0,0.0,0.0,0.0
1109,14,0.0,0.0026401382621978435,0.0,0.0,0.0,0.0,0.0,0.08121446717060732,0.0,0.0,0.0,0.0
using,259,0.014258870389585995,0.04067783565877264,0.0030425403087389518,0.06257121136007741,0.04495352844736012,0.030562987446147993,0.017813214779199258,0.08105645294931367,0.04573244419157725,0.12621451020255212,0.028354489461285624,0.0027213114513104353
session,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08001747119841764,0.0,0.0,0.0,0.0
doi,40,0.007313328888161964,0.001464107469272858,0.0,0.0,0.0034157808228623787,0.0,0.0,0.07968272323813369,0.00416995981176789,0.00605707765668106,0.030163107227557506,0.003722005106396074
machine,198,0.0,0.01891851171792695,0.016323375175554242,0.015045268801029342,0.04413712167952126,0.012860541055795259,0.03066377150801634,0.0767420772057781,0.0865965049113015,0.1621239274656881,0.0,0.0
8708,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07274315563492512,0.0,0.0,0.0,0.0
2088,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07274315563492512,0.0,0.0,0.0,0.0
10,162,0.010694152792189496,0.051382529253186496,0.009127620926216856,0.00595916298667404,0.007492254741226686,0.01697943747008222,0.009716298970472324,0.07092439633064945,0.03353712574048998,0.03985721374817435,0.02520399063225389,0.005442622902620871
algorithm,182,0.0,0.014864544921228318,0.038407941589539404,0.011283951600772005,0.015763257742686165,0.0042868470185984196,0.012265508603206535,0.0703469041052966,0.1077645394451752,0.09783340450515661,0.0,0.0
classifier,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0039939447203925504,0.06871993375974464,0.0,0.0,0.0,0.0
dataset,104,0.0022499860539358764,0.005405289062264842,0.00384079415895394,0.0018806586001286678,0.0,0.0,0.002044251433867756,0.06714931755505583,0.050033536170974204,0.12578580579234422,0.0,0.003435286328620458
validation,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06622276732640767,0.0033211739344298427,0.024120866075754723,0.0,0.0
based,187,0.039211893571361484,0.019268448469944934,0.009127620926216856,0.01340811672001659,0.014984509482453372,0.03395887494016444,0.03238766323490774,0.06585836802131735,0.0365859553532618,0.059785820622261523,0.018902992974190416,0.01904918015917305
shahapurkar,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06546884007143261,0.0,0.0,0.0,0.0
