Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
fraudulent,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05518563943867306,0.049817609016447634,0.3087470857696605,0.0,0.0
fraud,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10897343973705116,0.12520244523599092,0.26846426302169496,0.0,0.015964667065565336
transactions,113,0.0,0.0015901906000050086,0.0,0.002213095798055327,0.0,0.010089234827753523,0.016839244404626384,0.04139093556666308,0.0452906021875923,0.23354346556732414,0.0,0.0
card,116,0.0,0.0,0.0,0.0,0.017713587129616695,0.0,0.0,0.09881333188773474,0.10541999988611886,0.19631780108728686,0.0055864326665305,0.0
data,1711,0.48123687564852735,0.013916101672738008,0.0007606350771847379,0.020857070453359137,0.5444371778624726,0.6554062863451736,0.6930959932270258,0.10132056618664208,0.05792776264266452,0.19042891013016633,0.45997282903863346,0.718426223145955
bank,35,0.0,0.0,0.0,0.0,0.018478425597130685,0.0,0.0,0.0,0.0,0.1747579088461252,0.0,0.0
class,78,0.0,0.0,0.007909505464809518,0.006639287394165981,0.0037099343253065823,0.005044617413876761,0.0,0.037628123242420985,0.011322650546898076,0.16775657385821877,0.0,0.0
machine,198,0.0,0.01891851171792695,0.016323375175554242,0.015045268801029342,0.04413712167952126,0.012860541055795259,0.03066377150801634,0.0767420772057781,0.0865965049113015,0.1621239274656881,0.0,0.0
learning,478,0.0019250236229918088,0.1618613675633682,0.07475817151658071,0.03378979026987557,0.04045977548647181,0.01100311057197666,0.04722308031885535,0.08480866745160842,0.13336108070363997,0.1602323352673542,0.003402673285829742,0.0
classiﬁcation,57,0.0,0.0,0.0,0.002913302855806241,0.004883729965176619,0.0,0.0,0.0,0.05663920141628161,0.15588247530291965,0.0,0.0
credit,113,0.0,0.0,0.0,0.0,0.008856793564808348,0.0,0.0,0.1122878771451531,0.11893538448690331,0.15312788484808376,0.0,0.014476205844592934
2023,91,0.0,0.003466263728666195,0.0024629960265023696,0.009648118524708404,0.0,0.0,0.0,0.02870734462296599,0.08638305694948187,0.14698589242449978,0.0,0.0
iba,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12718003689693236,0.0,0.0
using,259,0.014258870389585995,0.04067783565877264,0.0030425403087389518,0.06257121136007741,0.04495352844736012,0.030562987446147993,0.017813214779199258,0.08105645294931367,0.04573244419157725,0.12621451020255212,0.028354489461285624,0.0027213114513104353
