Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
data,1711,0.48123687564852735,0.013916101672738008,0.0007606350771847379,0.020857070453359137,0.5444371778624726,0.6554062863451736,0.6930959932270258,0.10132056618664208,0.05792776264266452,0.19042891013016633,0.45997282903863346,0.718426223145955
learning,478,0.0019250236229918088,0.1618613675633682,0.07475817151658071,0.03378979026987557,0.04045977548647181,0.01100311057197666,0.04722308031885535,0.08480866745160842,0.13336108070363997,0.1602323352673542,0.003402673285829742,0.0
al,416,0.12688665609772368,0.16365772863601097,0.06657767053248984,0.10779731532395813,0.0,0.0,0.10961464854588301,0.026605480641413697,0.023127968844677892,0.007752587351349964,0.011030407581444029,0.0031759176448924926
et,402,0.13724914929008847,0.1770232167891736,0.06337310362274001,0.11848149180810606,0.0,0.0,0.11447808029659433,0.025580692401926036,0.023092401309680398,0.005590480257437521,0.011931231411049018,0.0
big,325,0.01799988843148701,0.0,0.0,0.0,0.04098447013098403,0.3729556906180625,0.25144292636573395,0.006395173100481509,0.0038487335516134,0.013976200643593803,0.19885385685081697,0.12023502150171604
model,318,0.003564717597396499,0.006422816156648312,0.047159374785453755,0.04469372240005529,0.027471600717831182,0.01697943747008222,0.038865195881889296,0.23810333053860888,0.0548789330298927,0.10185732402311223,0.0031504988290317363,0.0027213114513104353
process,278,0.09802973392840372,0.0021409387188827704,0.002281905231554214,0.06257121136007741,0.2921979349078408,0.030562987446147993,0.025910130587926197,0.005066028309332104,0.015244148063859084,0.015500027568734469,0.006300997658063473,0.03537704886703566
science,273,0.022881200279917385,0.002498591276885664,0.0,0.0,0.2302551511425869,0.027742290596639185,0.05669723200649121,0.017736987094275798,0.005337223579541052,0.012920978918916607,0.12133448339588432,0.3080640115545718
using,259,0.014258870389585995,0.04067783565877264,0.0030425403087389518,0.06257121136007741,0.04495352844736012,0.030562987446147993,0.017813214779199258,0.08105645294931367,0.04573244419157725,0.12621451020255212,0.028354489461285624,0.0027213114513104353
image,258,0.0,0.0015901906000050086,0.0,0.5422084705235551,0.011129802975919745,0.0,0.007216819030554164,0.007525624648484196,0.006793590328138845,0.00328934458545527,0.0,0.0
quality,217,0.4977690900867841,0.0,0.0,0.035409532768885234,0.014839737301226329,0.0,0.00962242537407222,0.0,0.00452906021875923,0.00328934458545527,0.00936018126827548,0.0
mining,207,0.0,0.0,0.0,0.0,0.24114573114492785,0.030267704483260563,0.26942791047402215,0.0,0.002264530109379615,0.00328934458545527,0.02808054380482644,0.06468047088156632
