Words,WordCounts,1-s2.0-S0925527314001339-main.txt,2302.12902.txt,2304.12966.txt,5595_raising_the_cost_of_malicious_.txt,978-3-662-49851-4_1.txt,Big_data_A_review.txt,Data_Mining_with_Big_Data.txt,EBSCO-FullText-2024-03-29 (1).txt,EBSCO-FullText-2024-03-29 (2).txt,EBSCO-FullText-2024-03-29.txt,J of Business Logistics - 2013 - Waller - Data Science  Predictive Analytics  and Big Data  A Revolution That Will.txt,provost-fawcett-2013-data-science-and-its-relationship-to-big-data-and-data-driven-decision-making.txt
data,1711,0.48123687564852735,0.013916101672738008,0.0007606350771847379,0.020857070453359137,0.5444371778624726,0.6554062863451736,0.6930959932270258,0.10132056618664208,0.05792776264266452,0.19042891013016633,0.45997282903863346,0.718426223145955
science,273,0.022881200279917385,0.002498591276885664,0.0,0.0,0.2302551511425869,0.027742290596639185,0.05669723200649121,0.017736987094275798,0.005337223579541052,0.012920978918916607,0.12133448339588432,0.3080640115545718
fundamental,28,0.0,0.0,0.0,0.0,0.00544101274194597,0.0,0.014112308865312482,0.0,0.0,0.0,0.0,0.13636237216998198
big,325,0.01799988843148701,0.0,0.0,0.0,0.04098447013098403,0.3729556906180625,0.25144292636573395,0.006395173100481509,0.0038487335516134,0.013976200643593803,0.19885385685081697,0.12023502150171604
business,103,0.021181663407948262,0.0,0.0,0.0,0.08903842380735796,0.05044617413876761,0.012028031717590275,0.0,0.002264530109379615,0.0,0.13104253775585673,0.10914829461264317
hurricane,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10159588594870698
principles,23,0.0,0.0,0.0014874305989240823,0.0,0.004883729965176619,0.013281393721149391,0.0,0.0,0.0,0.0,0.0,0.1011095580819138
concepts,23,0.0034854230299997788,0.0,0.0,0.0,0.014651189895529857,0.0,0.0,0.0,0.0,0.0,0.006160836517717096,0.09578800239339202
driven,43,0.0,0.0,0.0,0.0,0.028303926432631337,0.027490375000744888,0.015731068993791713,0.004101049231852285,0.0,0.0,0.015302343390720828,0.0925241086970852
ﬁeld,28,0.03833965332999757,0.0,0.0,0.0,0.009767459930353238,0.0,0.0,0.0,0.0,0.0,0.006160836517717096,0.0745017796393049
provost,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015540384094462513,0.07382838438908862
technologies,33,0.002437776296053988,0.0,0.0,0.0,0.0034157808228623787,0.013933918428251868,0.008859481915347404,0.003464466227744943,0.00833991962353578,0.00302853882834053,0.0,0.06699609191512933
one,116,0.019605946785680742,0.006422816156648312,0.012930796312140546,0.020857070453359137,0.03746127370613343,0.010187662482049331,0.014574448455708485,0.007599042463998156,0.006097659225543633,0.011071448263381764,0.01575249414515868,0.06531147483145044
scientists,21,0.0,0.0,0.0,0.0,0.03264607645167582,0.0,0.0,0.0,0.0,0.0,0.027455400059353992,0.0652167866899914
mining,207,0.0,0.0,0.0,0.0,0.24114573114492785,0.030267704483260563,0.26942791047402215,0.0,0.002264530109379615,0.00328934458545527,0.02808054380482644,0.06468047088156632
making,64,0.021175259852909897,0.0011561526254526297,0.0008215183683140737,0.0032180752637976737,0.008091955097294361,0.02200622114395332,0.006996011899089681,0.0027357634661809168,0.0065857323804266645,0.0,0.03062405957246768,0.06466091694251912
ddd,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625205451992043
wal,11,0.0,0.005280276524395687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0604050417728907
new,106,0.021388305584378993,0.009634224234972467,0.002281905231554214,0.01340811672001659,0.02247676422368006,0.023771212458115108,0.014574448455708485,0.002533014154666052,0.010670903644701359,0.013285737916058117,0.03780598594838083,0.059868851928829576
decisions,33,0.017314252671241686,0.0,0.0,0.0,0.01213025418541343,0.0,0.010487379329194477,0.0,0.0024680873414137674,0.0,0.030604686781441657,0.0572768291934337
decision,71,0.025025307098893515,0.0034684578763578893,0.004107591841570369,0.0,0.010789273463059149,0.018338517619961102,0.005247008924317261,0.0054715269323618336,0.0065857323804266645,0.00956610956820025,0.03062405957246768,0.055843519177630155
mart,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05470547704930376
thinking,11,0.003883144902057436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006863850014838498,0.053359189109992954
york,27,0.02019996144978197,0.0,0.0,0.002412029631177101,0.0,0.0,0.0052436896645972385,0.0,0.0,0.014340087065804856,0.0051007811302402764,0.05287091925547726
concept,62,0.0026477079259935327,0.0,0.0,0.004426191596110654,0.0,0.0,0.007216819030554164,0.1580381176181681,0.002264530109379615,0.0,0.00468009063413774,0.04851035316117474
programs,18,0.002885708778540281,0.0017331318643330975,0.0,0.0,0.008086836123608953,0.010996150000297954,0.0026218448322986193,0.0,0.0,0.0,0.0,0.048465009317520825
companies,26,0.0,0.0,0.0,0.0,0.008086836123608953,0.032988450000893864,0.0052436896645972385,0.0,0.0,0.007170043532902428,0.015302343390720828,0.048465009317520825
article,35,0.004875552592107976,0.0,0.0,0.0,0.0,0.009289278952167912,0.004429740957673702,0.010393398683234828,0.006254939717651835,0.027256849455064774,0.0043090153182225015,0.04838606638314896
example,108,0.04274973502478165,0.0,0.009601985397384851,0.01692592740115801,0.07251098561635635,0.0042868470185984196,0.03884077724348736,0.0,0.0,0.025157161158468843,0.015908308548065356,0.04809400860068642
scientist,31,0.0034854230299997788,0.0,0.0,0.0,0.03418610975623634,0.0,0.0,0.0,0.0,0.0,0.08625171124803935,0.04789400119669601
web,24,0.0,0.0,0.0,0.0,0.004883729965176619,0.03984418116344817,0.025333778453422565,0.0,0.0,0.0,0.0,0.04789400119669601
ﬁrms,18,0.03494830411851692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006863850014838498,0.047430390319993736
stern,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04689040889940323
liebert,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04689040889940323
processing,80,0.0382497629169099,0.009459255858963475,0.00192039707947697,0.013164610200900675,0.012610606194148931,0.034294776148787356,0.04292928011122287,0.0,0.0,0.0027952401287187605,0.0,0.044658722272065965
much,23,0.010590831703974131,0.0,0.0011299293521156455,0.0,0.0074198686506131645,0.0,0.0,0.007525624648484196,0.002264530109379615,0.0,0.00936018126827548,0.04446782373107685
many,82,0.01732521260692628,0.0023123052509052594,0.002464555104942221,0.0,0.04855173058376617,0.02200622114395332,0.020988035697269043,0.00820729039854275,0.0065857323804266645,0.00956610956820025,0.020416039714978452,0.04408698882444486
company,16,0.0,0.0,0.0,0.0,0.004428396782404174,0.006021553365968497,0.0,0.0,0.0,0.015705424086982948,0.0055864326665305,0.04342861753377881
ﬁrm,22,0.0543640286288041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006863850014838498,0.041501591529994525
think,11,0.0,0.0,0.0016571614113012432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020591550044515496,0.041501591529994525
2013,95,0.0674995816180763,0.006756611327831053,0.0,0.0037613172002573356,0.0,0.030007929130188935,0.034752274375751846,0.0,0.0019243667758067,0.0027952401287187605,0.07954154274032679,0.0412234359434455
analytics,98,0.023829371333941793,0.0,0.0,0.0,0.02225960595183949,0.15133852241630283,0.00481121268703611,0.0,0.0,0.01315737834182108,0.1731633534630964,0.04042529430097895
ai,50,0.0,0.0,0.0,0.06639287394165981,0.0074198686506131645,0.005044617413876761,0.007216819030554164,0.0,0.002264530109379615,0.009868033756365809,0.0,0.04042529430097895
ann,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015038882980828484,0.0,0.0,0.0402700278485938
c15vol,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907534074950268
mary,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907534074950268
ssrn,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907534074950268
churn,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907534074950268
causal,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907534074950268
c15march,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03907534074950268
important,51,0.014560763814492884,0.006246478192214159,0.0,0.005215999128578618,0.008743866499085578,0.01585273748379382,0.009449538667748536,0.0029561645157126335,0.0,0.012920978918916607,0.022060815162888058,0.03811101173870991
must,41,0.008999944215743506,0.0,0.00768158831790788,0.0,0.003152651548537233,0.017147388074393678,0.006132754301603267,0.0,0.0057731003274200995,0.005590480257437521,0.019885385685081698,0.037788149614825045
process,278,0.09802973392840372,0.0021409387188827704,0.002281905231554214,0.06257121136007741,0.2921979349078408,0.030562987446147993,0.025910130587926197,0.005066028309332104,0.015244148063859084,0.015500027568734469,0.006300997658063473,0.03537704886703566
work,77,0.007129435194792998,0.017127509751062163,0.0030425403087389518,0.01191832597334808,0.009989672988302249,0.010187662482049331,0.008096915808726936,0.02279712739199447,0.00914648883831545,0.004428579305352706,0.009451496487095208,0.03537704886703566
customer,60,0.037514214121023653,0.0,0.0,0.0,0.11725912379232982,0.016494225000446932,0.0026218448322986193,0.0,0.0,0.0,0.030604686781441657,0.03524727950365151
understand,29,0.0,0.002702644531132421,0.000960198539738485,0.0,0.02206856083976063,0.008573694037196839,0.002044251433867756,0.0,0.0019243667758067,0.005590480257437521,0.011931231411049018,0.034352863286204585
assets,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0039939447203925504,0.0,0.0,0.0,0.0,0.033558356540494834
advertising,7,0.0,0.0,0.0,0.0,0.0,0.016750806415889545,0.0,0.0,0.0,0.0,0.0,0.033558356540494834
academic,17,0.002437776296053988,0.001464107469272858,0.0,0.0,0.0034157808228623787,0.0,0.002214870478836851,0.0,0.002084979905883945,0.00302853882834053,0.008618030636445003,0.033498045957564664
problem,105,0.021388305584378993,0.0010704693594413852,0.03955302401360637,0.01191832597334808,0.002497418247075562,0.006791774988032888,0.004858149485236162,0.002533014154666052,0.007622074031929542,0.015500027568734469,0.0031504988290317363,0.03265573741572522
useful,27,0.013238539629967664,0.0,0.0,0.0,0.0037099343253065823,0.020178469655507045,0.016839244404626384,0.003762812324242098,0.0,0.00328934458545527,0.0,0.03234023544078316
inc,10,0.0034854230299997788,0.004186630167877635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004330068758414435,0.0,0.03192933413113067
school,10,0.0,0.0,0.0,0.0,0.004883729965176619,0.0,0.006333444613355641,0.0,0.002981010600856927,0.0,0.0,0.03192933413113067
